#   N_BLOCK:  ACCEPTANCE:
           0    0.947885
           1    0.944565
           2    0.944409
           3    0.944634
           4    0.945165
           5    0.944764
           6    0.945089
           7    0.944966
           8    0.944989
           9    0.944851
