#Blk	Blk_Energy	Stdev_Blk_Energy	Current_mu	Current sigma	Blk_Acceptance
90	-0.435177	0.0251297	0.798859	-0.596089	0.862706	
91	-0.442803	0.0255674	0.815574	-0.579322	0.871534	
92	-0.44317	0.0255885	0.839025	-0.629688	0.845311	
93	-0.432003	0.024946	0.884664	-0.629775	0.835968	
94	-0.419246	0.0242105	0.862937	-0.584418	0.835048	
95	-0.412829	0.0238493	0.846438	-0.577213	0.824148	
96	-0.429425	0.024798	0.770088	-0.597245	0.835986	
97	-0.443231	0.0255918	0.797355	-0.614674	0.866625	
98	-0.440152	0.0254142	0.756893	-0.590047	0.859403	
99	-0.442199	0.0255321	0.756469	-0.603603	0.863212	
100	-0.437003	0.0252323	0.777116	-0.600847	0.859255	
