# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	14.152	15.292	0.239623
20	8.16609	8.16609	7.17757e-15
40	6.85227	6.85227	8.97196e-16
60	5.83722	5.83722	0
80	5.68172	5.68172	3.58878e-15
100	5.52738	5.52738	4.48598e-15
120	5.52256	5.52256	4.48598e-15
140	5.52256	5.52256	4.48598e-15
160	5.52256	5.52256	4.48598e-15
180	5.50432	5.50432	2.69159e-15
200	5.50046	5.50046	2.69159e-15
220	5.50046	5.50046	2.69159e-15
240	5.50046	5.50046	2.69159e-15
260	5.50046	5.50046	2.69159e-15
280	5.50046	5.50046	2.69159e-15
300	5.50046	5.50046	2.69159e-15
320	5.50046	5.50046	2.69159e-15
340	5.50046	5.50046	2.69159e-15
360	5.50046	5.50046	2.69159e-15
380	5.50046	5.50046	2.69159e-15
400	5.44259	5.44259	1.79439e-15
420	5.42921	5.42921	8.97196e-16
440	5.11817	5.11817	6.28037e-15
460	5.09041	5.09041	0
480	5.09041	5.09041	0
500	5.09041	5.09041	0
520	5.09041	5.09041	0
540	5.09041	5.09041	0
560	5.09041	5.09041	0
580	5.09041	5.09041	0
600	5.09041	5.09041	0
620	5.09041	5.09041	0
640	5.09041	5.09041	0
660	5.09041	5.09041	0
680	5.09041	5.09041	0
700	5.09041	5.09041	0
720	5.09041	5.09041	0
740	5.09041	5.09041	0
760	5.09041	5.09041	0
780	5.09041	5.09041	0
800	5.09041	5.09041	0
820	5.09041	5.09041	0
840	5.09041	5.09041	0
860	5.09041	5.09041	0
880	5.09041	5.09041	0
900	5.09041	5.09041	0
920	5.09041	5.09041	0
940	5.09041	5.09041	0
960	5.09041	5.09041	0
980	5.09041	5.09041	0
