# Generation	Best_cost	Average_cost_best	Stdev_cost_best
0	14.152	15.292	0.239623
20	8.54143	8.54143	7.17757e-15
40	6.52234	6.54955	0.00392639
60	6.28682	6.28682	1.79439e-15
80	5.68114	5.68114	8.97196e-16
100	5.63722	5.63722	0
120	5.35654	5.35654	1.79439e-15
140	5.35654	5.35654	1.79439e-15
160	5.30578	5.30578	2.69159e-15
180	5.2984	5.2984	2.69159e-15
200	5.2984	5.2984	2.69159e-15
220	5.2984	5.2984	2.69159e-15
240	5.2984	5.2984	2.69159e-15
260	5.2984	5.2984	2.69159e-15
280	5.2984	5.2984	2.69159e-15
300	5.2984	5.2984	2.69159e-15
320	5.2984	5.2984	2.69159e-15
340	5.2984	5.2984	2.69159e-15
360	5.2984	5.2984	2.69159e-15
380	5.2984	5.2984	2.69159e-15
400	5.2984	5.2984	2.69159e-15
420	5.2984	5.2984	2.69159e-15
440	5.2984	5.2984	2.69159e-15
460	5.2984	5.2984	2.69159e-15
480	5.2984	5.2984	2.69159e-15
500	5.2984	5.2984	2.69159e-15
520	5.2984	5.2984	2.69159e-15
540	5.23157	5.23157	0
560	5.0727	5.0727	4.48598e-15
580	5.0727	5.0727	4.48598e-15
600	5.0727	5.0727	4.48598e-15
620	5.0727	5.0727	4.48598e-15
640	5.0727	5.0727	4.48598e-15
660	5.0727	5.0727	4.48598e-15
680	5.0727	5.0727	4.48598e-15
700	5.0727	5.0727	4.48598e-15
720	5.0727	5.0727	4.48598e-15
740	5.0727	5.0727	4.48598e-15
760	5.0727	5.0727	4.48598e-15
780	5.0727	5.0727	4.48598e-15
800	5.0727	5.0727	4.48598e-15
820	5.0727	5.0727	4.48598e-15
840	5.0727	5.0727	4.48598e-15
860	5.0727	5.0727	4.48598e-15
880	5.0727	5.0727	4.48598e-15
900	5.0727	5.0727	4.48598e-15
920	5.0727	5.0727	4.48598e-15
940	5.0727	5.0727	4.48598e-15
960	5.0727	5.0727	4.48598e-15
980	5.0727	5.0727	4.48598e-15
