5.23646	0
5.46494	0.161558
5.41549	0.115023
5.40958	0.0864191
5.46241	0.0837414
5.48239	0.072128
5.43636	0.0750902
5.4134	0.069124
5.44272	0.0673751
5.41209	0.0672406
5.3943	0.0634363
5.39659	0.0581911
5.40389	0.0541713
5.4035	0.0503034
5.40573	0.0469993
5.39299	0.0457569
5.40724	0.0452299
5.41556	0.0434767
5.41917	0.0413379
5.42259	0.0394118
5.4352	0.0395006
5.43512	0.0377052
5.44247	0.0367748
5.44925	0.0358612
5.44744	0.0344725
5.44272	0.0334669
5.44365	0.0322401
5.44273	0.0311017
5.44656	0.0302638
5.44893	0.0293477
5.42899	0.034515
5.43151	0.0335278
5.43487	0.0326802
5.43358	0.0317443
5.43564	0.0309036
5.43884	0.0302108
5.44042	0.0294356
5.44137	0.0286762
5.43867	0.0280679
5.44727	0.0286548
5.44442	0.028098
5.44622	0.0274869
5.44414	0.0269265
5.43999	0.0266321
5.44465	0.0264459
5.44371	0.0258878
5.43556	0.0265875
5.44053	0.0264932
5.44129	0.0259634
5.44884	0.0265202
