#SA	SA_Energy
0	-0.285984	
1	-0.311264	
2	-0.276683	
3	-0.2124	
4	-0.263275	
5	-0.218977	
6	-0.252539	
7	-0.352102	
8	-0.247176	
9	-0.265932	
10	-0.226718	
11	-0.281376	
12	-0.223192	
13	-0.25871	
14	-0.260564	
15	-0.294296	
16	-0.203313	
17	-0.169196	
18	-0.280798	
19	-0.177865	
20	-0.252142	
21	-0.251738	
22	-0.243871	
23	-0.284728	
24	-0.287964	
25	-0.253082	
26	-0.188487	
27	-0.281044	
28	-0.26328	
29	-0.259464	
30	-0.304619	
31	-0.242824	
32	-0.300986	
33	-0.254253	
34	-0.249246	
35	-0.291296	
36	-0.266186	
37	-0.190657	
38	-0.220326	
39	-0.277733	
40	-0.294908	
41	-0.26605	
42	-0.255548	
43	-0.262036	
44	-0.253651	
45	-0.226506	
46	-0.276843	
47	-0.281755	
48	-0.28349	
49	-0.291291	
50	-0.294455	
51	-0.263615	
52	-0.212721	
53	-0.230016	
54	-0.343065	
55	-0.255484	
56	-0.260808	
57	-0.250469	
58	-0.237225	
59	-0.17406	
60	-0.251896	
61	-0.248262	
62	-0.293994	
63	-0.0319705	
64	-0.24017	
65	-0.215548	
66	-0.3475	
67	-0.296175	
68	-0.262724	
69	-0.304735	
70	-0.232183	
71	-0.213963	
72	-0.206097	
73	-0.237425	
74	-0.240292	
75	-0.247884	
76	-0.24752	
77	-0.285377	
78	-0.316022	
79	-0.336916	
80	-0.3096	
81	-0.297497	
82	-0.170262	
83	-0.292468	
84	-0.341131	
85	-0.296419	
86	-0.285347	
87	-0.174623	
88	-0.179012	
89	-0.302486	
90	-0.258437	
91	-0.252465	
92	-0.239361	
93	-0.28966	
94	-0.294622	
95	-0.237958	
96	-0.310654	
97	-0.232563	
98	-0.329856	
99	-0.263365	
100	-0.152165	
101	-0.268185	
102	-0.238198	
103	-0.25808	
104	-0.292547	
105	-0.318045	
106	-0.289259	
107	-0.13051	
108	-0.15933	
109	-0.28375	
110	-0.276385	
111	-0.18962	
112	-0.191105	
113	-0.328787	
114	0.0560918	
115	-0.0281429	
116	-0.15683	
117	-0.182986	
118	-0.181066	
119	-0.0461575	
120	-0.19432	
121	-0.160835	
122	-0.178044	
123	-0.178151	
124	-0.301135	
125	-0.15034	
126	-0.0196121	
127	-0.226097	
128	-0.0282575	
129	-0.165979	
130	-0.218499	
131	-0.11119	
132	-0.229516	
133	-0.264107	
134	-0.26636	
135	-0.185504	
136	-0.180572	
137	-0.155988	
138	-0.140535	
139	-0.180981	
140	-0.161566	
141	-0.19769	
142	-0.116993	
143	-0.21984	
144	-0.268444	
145	-0.183203	
146	-0.205806	
147	-0.21753	
148	-0.13108	
149	-0.213531	
150	-0.238196	
151	-0.254829	
152	-0.16594	
153	-0.207287	
154	-0.200599	
